,features,score
0,importance,0.4564528148683627
1,greater,0.4564528148683627
2,appreciation,0.4564528148683627
0,faculty,0.54596921100796
1,member,0.54596921100796
2,independent,0.2272917715449186
0,fourth,0.6202607302096775
1,year,0.5546515241842204
2,indicate,0.5546515241842204
0,experiment,0.4082482904638631
1,fundamental,0.4082482904638631
2,conducting,0.4082482904638631
0,reading,0.38349278400514597
1,article,0.38349278400514597
2,book,0.38349278400514597
0,future,0.07163522161982414
1,biology,0.04993505952286688
2,scientific,0.04828881067554137
0,wa,0.49844122960013953
1,beneficial,0.49844122960013953
2,student,0.4566083422185718
0,presentation,0.39027360174248893
1,skill,0.39027360174248893
2,effective,0.39027360174248893
0,various,0.42109399715642404
1,knowledgeable,0.42109399715642404
2,available,0.42109399715642404
