,features,score
0,year,0.7758976453095832
1,class,0.630858814635291
2,improving,0.0
0,affect,0.416106268594847
1,mark,0.416106268594847
2,apply,0.416106268594847
0,encouragement,0.3923608405118336
1,experienced,0.339593428249622
2,home,0.2904009705117425
0,lmu,0.09738870417039003
1,generally,0.07466478025931736
2,gpa,0.06666666666666667
0,group,0.3992618755664077
1,community,0.3992618755664077
2,lab,0.3455663641562647
0,identity,0.6526213919562853
1,aspect,0.38601779705610195
2,feel,0.35122952707951727
0,harassing,0.3698051535624023
1,behavior,0.3698051535624023
2,experienced,0.3200711868157151
0,computing,0.43619177598276215
1,pursuing,0.43619177598276215
2,career,0.3981959180206641
0,post,0.38367261990073903
1,sent,0.38367261990073903
2,social,0.38367261990073903
