,features,score
0,sexual,0.5380843208976962
1,orientation,0.4187026761345379
2,people,0.20921776007159257
0,equitable,0.4309302684495236
1,support,0.3784829182056974
2,peer,0.08878458338284367
0,derogatory,0.062270566845057836
1,classroom,0.045558524698657135
2,campus,0.04084605399534252
0,ece,0.19585952153548966
1,lmu,0.1917407215894476
2,following,0.13156133138762977
0,experience,0.2618592169830104
1,community,0.243700243699915
2,department,0.19222754756640265
0,people,0.3921458318308686
1,background,0.137945794492873
2,differs,0.1137858831403688
0,dissatisfied,0.2214220868534053
1,inclusiveness,0.19675048797026676
2,previous,0.16552597160071794
0,discrimination,0.25195421371017257
1,harassment,0.2455484835565251
2,experienced,0.15565672962813795
0,activity,0.19291974831062703
1,staff,0.191753477957505
2,faculty,0.1856676097132566
