,features,score
0,provide,1.0
1,yes,0.0
2,employer,0.0
0,course,0.4623249468184124
1,wish,0.29907587752495857
2,taken,0.29907587752495857
0,major,0.35957976766335115
1,wa,0.24855593318832345
2,original,0.24855593318832345
0,graduate,0.4046989847430111
1,school,0.36255221425457573
2,begin,0.23779580962797633
0,service,0.3063056622582029
1,attending,0.2
2,travel,0.2
0,job,0.7379631962833331
1,type,0.36898159814166653
2,indicate,0.2604756716971995
0,advising,0.29593225932952794
1,department,0.22140546685765874
2,academic,0.21509372642261407
0,yes,0.40756090422575675
1,project,0.31600418538554914
2,indicate,0.2877100126954383
0,health,0.2829154389399735
1,science,0.2829154389399735
2,human,0.2829154389399735
