,features,score
0,lmu,0.31591928254980617
1,offered,0.15803273551394278
2,major,0.13860674237744108
0,institutional,0.31851602183004024
1,communication,0.31851602183004024
2,setting,0.31851602183004024
0,current,0.6226318408016787
1,profession,0.373199746173553
2,status,0.32512238223119005
0,society,0.48350398885829343
1,organization,0.48350398885829343
2,member,0.48350398885829343
0,rate,0.18230880985296777
1,overall,0.18230880985296777
2,received,0.17061823430557702
0,begin,0.47018921601068797
1,college,0.47018921601068797
2,attend,0.2893459416465954
0,science,0.3821851306235078
1,human,0.2503252693829032
2,health,0.22321773993890806
0,valuable,0.3967281020568143
1,ntls,0.32388109258472453
2,hhsc,0.2774515536408372
0,course,0.3232622721053983
1,division,0.2863012384349233
2,knowledge,0.20197028336922326
