,features,score
0,department,0.46986338350730095
1,suggestion,0.41056697594785924
2,relation,0.2654392719057458
0,graduation,0.3049714560027931
1,lmu,0.2628033378241223
2,plan,0.24931388465547422
0,comment,1.0
1,writing,0.0
2,decision,0.0
0,ability,0.4187983281569553
1,confidence,0.4187983281569553
2,mathematics,0.38111540408663147
0,division,0.38439408879145387
1,math,0.32916399041861244
2,course,0.2796890817711497
0,advising,0.5405425350872257
1,career,0.20041627054867003
2,feel,0.16459947667018715
0,student,0.29620645124660966
1,department,0.2160535563996895
2,relationship,0.19068841106004614
0,unit,0.6215167646401811
1,course,0.43085082633934835
2,versus,0.2951899474415289
0,experience,0.4437389121488242
1,thought,0.39198544400529123
2,division,0.27173402564684007
