,features,score
0,societal,0.32547015294033377
1,recognize,0.32547015294033377
2,ethical,0.32547015294033377
0,conclusion,0.3035380373947232
1,experimentation,0.3035380373947232
2,data,0.3035380373947232
0,inclusive,0.256888925897711
1,create,0.256888925897711
2,leadership,0.256888925897711
0,range,0.5294901000554981
1,audience,0.5294901000554981
2,communicate,0.5294901000554981
0,focus,0.36103988354868355
1,additional,0.36103988354868355
2,feedback,0.36103988354868355
0,prepared,0.5800724618595661
1,effectively,0.49035005689035643
2,mechanical,0.43125141956582425
0,option,0.367675685281297
1,school,0.35510116695661775
2,graduate,0.35510116695661775
0,program,0.11350468837206093
1,engineering,0.09617216732578433
2,student,0.08303960018029247
0,cultural,0.24329195178596782
1,specified,0.24329195178596782
2,produce,0.24329195178596782
