,features,score
0,wish,0.4643201574427352
1,improve,0.4643201574427352
2,differently,0.4643201574427352
0,obstacle,0.5094552117632828
1,significant,0.5094552117632828
2,success,0.5094552117632828
0,physic,0.40875481611562664
1,know,0.3725854488799136
2,modern,0.3725854488799136
0,physic,0.6027936199499925
1,prepared,0.48696134013574716
2,effectively,0.4426218098586712
0,method,0.38389305981928357
1,model,0.38389305981928357
2,calculation,0.38389305981928357
0,physic,0.5626857358253573
1,applied,0.3134469227585857
2,program,0.28134286791267865
0,option,0.3680640552869408
1,school,0.33958939762435686
2,graduate,0.33958939762435686
0,physic,0.099675867
1,requirement,0.077576058
2,result,0.06981156
0,faculty,0.5396032936042762
1,research,0.5396032936042762
2,opportunity,0.4782306664395044
