,Topic,Word,P
0,0,participate,0.06579043
1,0,scientific,0.065790184
2,0,opportunity,0.065789565
3,1,participate,0.03597127
4,1,time,0.035971187
5,1,second,0.035971187
6,2,biology,0.064966306
7,2,department,0.064965665
8,2,would,0.06496546
9,3,feel,0.09644658
10,3,future,0.05076226
11,3,career,0.050761614
12,4,future,0.030959958
13,4,include,0.030959759
14,4,name,0.030959759
15,5,one,0.062112354
16,5,indicate,0.062112123
17,5,please,0.062112063
18,6,scientific,0.052925102
19,6,developed,0.052924965
20,6,information,0.052924965
21,7,future,0.042919036
22,7,undergraduate,0.04291863
23,7,member,0.042918622
24,8,biology,0.075698525
25,8,student,0.039840866
26,8,wa,0.039840747
