,Topic,Word,P
0,0,identity,0.108323276
1,0,feel,0.072656035
2,0,aspect,0.048877414
3,1,lmu,0.072166614
4,1,lab,0.048969295
5,1,found,0.048969127
6,2,experienced,0.06896587
7,2,lmu,0.046798337
8,2,harassing,0.046798207
9,3,encouragement,0.07052205
10,3,feel,0.047859434
11,3,experienced,0.047859397
12,4,lmu,0.065746084
13,4,someone,0.034602445
14,4,encouragement,0.03460223
15,5,way,0.063757814
16,5,following,0.06375774
17,5,mark,0.06375765
18,6,feel,0.050909158
19,6,lmucs,0.034545638
20,6,feeling,0.034545634
21,7,someone,0.038168352
22,7,generally,0.038168147
23,7,people,0.03816804
24,8,major,0.05688667
25,8,online,0.02994026
26,8,career,0.029940141
