,Topic,Word,P
0,0,people,0.09745971
1,0,background,0.026349386
2,0,activity,0.02119418
3,1,ece,0.04597705
4,1,location,0.031198569
5,1,lmu,0.031198096
6,2,dissatisfied,0.046719056
7,2,’,0.046719056
8,2,‘,0.046719056
9,3,lmu,0.033079185
10,3,ece,0.032977793
11,3,remark,0.032089055
12,4,lmu,0.06674726
13,4,ece,0.06595386
14,4,following,0.047649678
15,5,ece,0.06374794
16,5,experience,0.048942793
17,5,community,0.042757347
18,6,ece,0.07527737
19,6,lmu,0.06773921
20,6,would,0.030784955
21,7,area,0.041320227
22,7,study,0.028038995
23,7,lab,0.028038662
24,8,equitable,0.031812742
25,8,harassment,0.031812444
26,8,discrimination,0.03181237
