,Topic,Word,P
0,0,please,0.06944475
1,0,program,0.06944446
2,0,college,0.06944432
3,1,job,0.117284186
4,1,indicate,0.06172859
5,1,title,0.061728563
6,2,lmu,0.12963063
7,2,internship,0.08796346
8,2,student,0.0879632
9,3,lmu,0.06397358
10,3,please,0.063973315
11,3,school,0.063973024
12,4,description,0.015873019
13,4,list,0.015873019
14,4,brief,0.015873019
15,5,description,0.015873019
16,5,list,0.015873019
17,5,brief,0.015873019
18,6,school,0.1055561
19,6,applying,0.105555825
20,6,graduate,0.10555568
21,7,course,0.06172854
22,7,?,0.06172854
23,7,took,0.061728336
24,8,please,0.10555671
25,8,job,0.10555541
26,8,looking,0.055555493
