,Topic,Word,P
0,0,please,0.08000073
1,0,indicate,0.08000037
2,0,school,0.079999834
3,1,course,0.08620715
4,1,?,0.08620715
5,1,taken,0.08620668
6,2,advising,0.09145172
7,2,department,0.07355908
8,2,science,0.07355886
9,3,graduate,0.148937
10,3,school,0.10106428
11,3,please,0.05319178
12,4,project,0.07569761
13,4,yes,0.039840817
14,4,lmu,0.039840806
15,5,lmu,0.10204487
16,5,begin,0.1020396
17,5,situation,0.010204345
18,6,travel,0.012500002
19,6,attending,0.012500002
20,6,lmu,0.012500001
21,7,health,0.09417831
22,7,human,0.09417831
23,7,science,0.09417831
24,8,major,0.072539195
25,8,original,0.049222965
26,8,wa,0.049222965
