,Topic,Word,P
0,0,application,0.06580879
1,0,course,0.04938085
2,0,division,0.049380258
3,1,current,0.075396754
4,1,course,0.039682813
5,1,related,0.039682556
6,2,professional,0.050264854
7,2,society,0.05026452
8,2,organization,0.05026452
9,3,science,0.12652704
10,3,human,0.085117966
11,3,health,0.06441163
12,4,minor,0.066194095
13,4,hhsc,0.04491788
14,4,lmu,0.023641074
15,5,setting,0.049095605
16,5,communication,0.0490956
17,5,interpersonal,0.0490956
18,6,service,0.04491733
19,6,valuable,0.044917308
20,6,ntls,0.044917177
21,7,lmu,0.04691452
22,7,graduate,0.046913154
23,7,inside,0.024691569
24,8,would,0.077237114
25,8,ntls,0.058755912
26,8,overall,0.05875579
