,Topic,Word,P
0,0,result,0.052356258
1,0,problem,0.05235596
2,0,applying,0.052355934
3,1,providing,0.07812608
4,1,learning,0.07812551
5,1,service,0.078124695
6,2,providing,0.012048195
7,2,graduate,0.012048195
8,2,career,0.012048195
9,3,program,0.08050894
10,3,experience,0.042372994
11,3,student,0.042372987
12,4,physic,0.26513293
13,4,applied,0.13361031
14,4,program,0.09603419
15,5,perform,0.054944232
16,5,method,0.054944232
17,5,calculation,0.054944232
18,6,physic,0.122582264
19,6,know,0.06451587
20,6,theory,0.06451587
21,7,physical,0.09090941
22,7,effectively,0.04784713
23,7,result,0.047847014
24,8,student,0.058282733
25,8,graduate,0.05828266
26,8,school,0.05828266
